"PRODUCT_ID","STORE_ID","TRANSACTION_DATE","ITEM_QUANTITY"
"REGULAR","2741424",2017-04-30,1984.812
"REGULAR","2741424",2017-05-01,3144.918
"REGULAR","2741424",2017-05-02,2486.306
"REGULAR","2741424",2017-05-03,2067.219
"REGULAR","2741424",2017-05-04,2298.613
"REGULAR","2741424",2017-05-05,2484.453
"REGULAR","2741424",2017-05-06,2028.841
"REGULAR","2741424",2017-05-07,1582.454
"REGULAR","2741424",2017-05-08,2467.803
"REGULAR","2741424",2017-05-09,2010.747
"REGULAR","2741424",2017-05-10,881.69
"REGULAR","2741424",2017-05-11,2899.098
"REGULAR","2741424",2017-05-12,2151.622
"REGULAR","2741424",2017-05-13,2453.594
"REGULAR","2741424",2017-05-14,1826.286
"REGULAR","2741424",2017-05-15,2242.12
"REGULAR","2741424",2017-05-16,1860.944
"REGULAR","2741424",2017-05-17,1788.894
"REGULAR","2741424",2017-05-18,1941.274
"REGULAR","2741424",2017-05-19,2240.85
"REGULAR","2741424",2017-05-20,1574.307
"REGULAR","2741424",2017-05-21,992.274
"REGULAR","2741424",2017-05-22,2032.695
"REGULAR","2741424",2017-05-23,1939.352
"REGULAR","2741424",2017-05-24,2168.792
"REGULAR","2741424",2017-05-25,2258.082
"REGULAR","2741424",2017-05-26,2634.967
"REGULAR","2741424",2017-05-27,1889.484
"REGULAR","2741424",2017-05-28,1433.176
"REGULAR","2741424",2017-05-29,1248.26
"REGULAR","2741424",2017-05-30,2209.896
"REGULAR","2741424",2017-05-31,1881.404
"REGULAR","2741424",2017-06-01,1977.408
"REGULAR","2741424",2017-06-02,2268.414
"REGULAR","2741424",2017-06-03,1829.23
"REGULAR","2741424",2017-06-04,1288.106
"REGULAR","2741424",2017-06-05,2527.262
"REGULAR","2741424",2017-06-06,1361.678
"REGULAR","2741424",2017-06-07,1725.357
"REGULAR","2741424",2017-06-08,1939.82
"REGULAR","2741424",2017-06-09,1907.268
"REGULAR","2741424",2017-06-10,1273.049
"REGULAR","2741424",2017-06-11,1131.207
"REGULAR","2741424",2017-06-12,2060.995
"REGULAR","2741424",2017-06-13,1626.742
"REGULAR","2741424",2017-06-14,1731.134
"REGULAR","2741424",2017-06-15,1964.526
"REGULAR","2741424",2017-06-16,2414.503
"REGULAR","2741424",2017-06-17,1605.824
"REGULAR","2741424",2017-06-18,1502.503
"REGULAR","2741424",2017-06-19,1914.841
"REGULAR","2741424",2017-06-20,2068.4
"REGULAR","2741424",2017-06-21,1894.363
"REGULAR","2741424",2017-06-22,1631.524
"REGULAR","2741424",2017-06-23,2046.045
"REGULAR","2741424",2017-06-24,1487.529
"REGULAR","2741424",2017-06-25,1419.709
"REGULAR","2741424",2017-06-26,2226.107
"REGULAR","2741424",2017-06-27,1333.93
"REGULAR","2741424",2017-06-28,2029.195
"REGULAR","2741424",2017-06-29,2221.462
"REGULAR","2741424",2017-06-30,1988.972
"REGULAR","2741424",2017-07-01,1678.47
"REGULAR","2741424",2017-07-02,1139.849
"REGULAR","2741424",2017-07-03,1766.797
"REGULAR","2741424",2017-07-04,1471.792
"REGULAR","2741424",2017-07-05,2160.929
"REGULAR","2741424",2017-07-06,2074.427
"REGULAR","2741424",2017-07-07,2236.358
"REGULAR","2741424",2017-07-08,1711.098
"REGULAR","2741424",2017-07-09,1303.562
"REGULAR","2741424",2017-07-10,1774.916
"REGULAR","2741424",2017-07-11,1992.831
"REGULAR","2741424",2017-07-12,1850.392
"REGULAR","2741424",2017-07-13,2043.139
"REGULAR","2741424",2017-07-14,2115.779
"REGULAR","2741424",2017-07-15,1621.416
"REGULAR","2741424",2017-07-16,1102.345
"REGULAR","2741424",2017-07-17,2046.948
"REGULAR","2741424",2017-07-18,1811.612
"REGULAR","2741424",2017-07-19,2064.676
"REGULAR","2741424",2017-07-20,2427.955
"REGULAR","2741424",2017-07-21,1804.83
"REGULAR","2741424",2017-07-22,1669.854
"REGULAR","2741424",2017-07-23,1295.255
"REGULAR","2741424",2017-07-24,1855.312
"REGULAR","2741424",2017-07-25,1991.985
"REGULAR","2741424",2017-07-26,2076.267
"REGULAR","2741424",2017-07-27,1789.349
"REGULAR","2741424",2017-07-28,2340.301
"REGULAR","2741424",2017-07-29,2171.158
"REGULAR","2741424",2017-07-30,1494.579
"REGULAR","2741424",2017-07-31,2146.005
"REGULAR","2741424",2017-08-01,1966.744
"REGULAR","2741424",2017-08-02,1292.165
"REGULAR","2741424",2017-08-03,1707.024
"REGULAR","2741424",2017-08-04,1927.487
"REGULAR","2741424",2017-08-05,1464.778
"REGULAR","2741424",2017-08-06,1364.001
"REGULAR","2741424",2017-08-07,1527.83
"REGULAR","2741424",2017-08-08,1703.278
"REGULAR","2741424",2017-08-09,1857.06
"REGULAR","2741424",2017-08-10,2282.671
"REGULAR","2741424",2017-08-11,2631.622
"REGULAR","2741424",2017-08-12,1550.187
"REGULAR","2741424",2017-08-13,1196.887
"REGULAR","2741424",2017-08-14,2259.391
"REGULAR","2741424",2017-08-15,2356.086
"REGULAR","2741424",2017-08-16,2389.726
"REGULAR","2741424",2017-08-17,2413.104
"REGULAR","2741424",2017-08-18,2275.776
"REGULAR","2741424",2017-08-19,1848.006
"REGULAR","2741424",2017-08-20,2099.342
"REGULAR","2741424",2017-08-21,2251.434
"REGULAR","2741424",2017-08-22,2211.65
